cluster_id,size,size_pct,churn_rate,tenure_mean,tenure_std,MonthlyCharges_mean,MonthlyCharges_std,TotalCharges_mean,TotalCharges_std,service_diversity_mean,service_diversity_std,contract_mode,internet_mode,payment_mode,cluster_name
0,1939,34.416045438409654,0.15317173800928313,56.01083032490975,14.263023353129515,88.89938112429088,18.14741940018319,4976.666709644146,1680.0683264911722,3.9473955647240846,1.2661005091534256,Two year,Fiber optic,Bank transfer (automatic),Premium Loyal
1,1218,21.61874334398296,0.0722495894909688,30.236453201970445,24.112750447931088,21.14889162561576,2.3159109907521827,660.8978583196047,553.1582087124607,0.0008210180623973727,0.028653412753062633,Two year,No,Mailed check,Budget Established
2,2477,43.96521121760738,0.44812272910779166,15.174808235769076,13.877191978304214,67.69485264432781,20.138071085787384,1011.87418115649,926.3747885924525,1.5906338312474768,1.214296685236283,Month-to-month,Fiber optic,Electronic check,Standard Established
